date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,change,changeOverTime,changePercent,high,close,unadjustedVolume,adjClose,vwap,volume,low,open
2023-06-30,"June 30, 23",,,,,,1.82,0.0229,2.29,81.41,81.24,3429545,80.91,80.345,3429545,79.31,79.42
2023-06-29,"June 29, 23",,,,,,1.41,0.0182,1.82,78.7,78.68,1908393,78.36,77.95,1908393,77.15,77.27
2023-06-28,"June 28, 23",,,,,,-0.31,-0.004,-0.4,77.59,77.19,2920500,76.88,77.155,2920500,76.34,77.5
2023-06-27,"June 27, 23",,,,,,-0.88,-0.0113,-1.13,78.35,77.07,3250400,76.76,77.39,3250400,76.19,77.95
2023-06-26,"June 26, 23",,,,,,-2.22,-0.0277,-2.77,80.3,77.8,2500854,77.49,78.965,2500854,77.74,80.02
2023-06-23,"June 23, 23",,,,,,-0.04,-0.0005008765,-0.05008765,80.35,79.82,7973136,79.5,79.76,7973136,79.01,79.86
2023-06-22,"June 22, 23",,,,,,0.27,0.0033775,0.33775,80.75,80.21,2229579,79.89,80.12,2229579,79.58,79.94
2023-06-21,"June 21, 23",,,,,,0.83,0.0105,1.05,80,79.62,2805700,79.3,79.175,2805700,78.29,78.79
2023-06-20,"June 20, 23",,,,,,0.54,0.0068913,0.68913,79.16,78.9,3155435,78.58,78.5425,3155435,77.75,78.36
2023-06-16,"June 16, 23",,,,,,-0.85,-0.0107,-1.07,80.1,78.65,5390613,78.33,79.185,5390613,78.49,79.5
2023-06-15,"June 15, 23",,,,,,0.44,0.0055937,0.55937,79.17,79.1,3277900,78.78,78.7875,3277900,78.22,78.66
2023-06-14,"June 14, 23",,,,,,0.35,0.0044768,0.44768,78.8,78.53,3322600,78.21,78.2475,3322600,77.48,78.18
2023-06-13,"June 13, 23",,,,,,-0.51,-0.0065134,-0.65134,78.45,77.79,4122300,77.48,77.81,4122300,76.7,78.3
2023-06-12,"June 12, 23",,,,,,1.02,0.0132,1.32,78.31,78.27,5545427,77.95,77.6825,5545427,76.9,77.25
2023-06-09,"June 09, 23",,,,,,-1,-0.0128,-1.28,78.5,77.1,4900031,76.79,77.69,4900031,77.06,78.1
2023-06-08,"June 08, 23",,,,,,0.4,0.0051713,0.51713,78.4,77.75,15053967,77.44,77.5625,15053967,76.75,77.35
2023-06-07,"June 07, 23",,,,,,-1.01,-0.0124,-1.24,82.26,80.48,3883928,80.15,81.105,3883928,80.19,81.49
2023-06-06,"June 06, 23",,,,,,4.93,0.0632,6.32,83.18,82.93,23800615,82.59,80.4775,23800615,77.8,78
2023-06-05,"June 05, 23",,,,,,0.58,0.0072582,0.72582,80.72,80.49,1416724,80.16,79.975,1416724,78.78,79.91
2023-06-02,"June 02, 23",,,,,,-0.33,-0.0041096,-0.41096,80.87,79.97,2404589,79.65,80.26,2404589,79.9,80.3
2023-06-01,"June 01, 23",,,,,,0.1,0.0012542,0.12542,80.1,79.83,2355665,79.51,79.6375,2355665,78.89,79.73
2023-05-31,"May 31, 23",,,,,,0.97,0.0124,1.24,79.73,79.51,4501500,79.19,78.88,4501500,77.74,78.54
2023-05-30,"May 30, 23",,,,,,-0.29,-0.0037061,-0.37061,79.05,77.96,1775800,77.65,78.1675,1775800,77.41,78.25
2023-05-26,"May 26, 23",,,,,,-1.34,-0.0168,-1.68,80.2,78.43,2250436,78.11,79.1925,2250436,78.37,79.77
2023-05-25,"May 25, 23",,,,,,3.33,0.0435,4.35,80.06,79.86,3127809,79.54,78.015,3127809,75.61,76.53
2023-05-24,"May 24, 23",,,,,,-0.44,-0.0057165,-0.57165,77.14,76.53,1431903,76.22,76.68,1431903,76.08,76.97
2023-05-23,"May 23, 23",,,,,,-1.77,-0.0224,-2.24,79.77,77.19,1382400,76.88,78.245,1382400,77.06,78.96
