date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,dividend,paymentDate,declarationDate,recordDate
2023-06-28,94.67,95.36,94.29,95.13,95.1,873200,873200,0.46,0.4859,94.93,"June 28, 23",0.004859,,,,,
2023-06-27,93.57,94.73,92.79,94.65,94.62,916800,916800,1.08,1.15,94.06,"June 27, 23",0.0115,,,,,
2023-06-26,93.25,93.94,92.35,93.42,93.39,907600,907600,0.17,0.18231,93.23,"June 26, 23",0.0018231,,,,,
2023-06-23,92.96,93.96,92.52,93.2,93.17,1246800,1246800,0.24,0.25818,93.22,"June 23, 23",0.0025818,,,,,
2023-06-22,92.91,93.74,92.58,93.26,93.24,1120400,1120400,0.35,0.37671,93.2,"June 22, 23",0.0037671,,,,,
2023-06-21,91.96,92.78,91.4,92.68,92.65,790800,790800,0.72,0.78295,92.28,"June 21, 23",0.0078295,,,,,
2023-06-20,90.81,92.45,90.79,92.28,92.25,985600,985600,1.47,1.62,91.84,"June 20, 23",0.0162,,,,,
2023-06-16,92.99,93.95,91.67,91.85,91.82,2514000,2514000,-1.14,-1.23,92.49,"June 16, 23",-0.0123,,,,,
2023-06-15,90.93,92.5,90.5,91.89,91.86,1209600,1209600,0.96,1.06,91.63,"June 15, 23",0.0106,,,,,
2023-06-14,91,92.13,90.19,90.68,90.66,1535600,1535600,-0.32,-0.35165,91,"June 14, 23",-0.0035165,,,,,
2023-06-13,89,90.1,89,89.79,89.77,1038000,1038000,0.79,0.88764,89.63,"June 13, 23",0.0088764,,,,,
2023-06-12,87.07,89.17,87.03,89,88.97,1372400,1372400,1.93,2.22,88.4,"June 12, 23",0.0222,,,,,
2023-06-09,87.43,87.43,86.1,86.54,86.51,1182800,1182800,-0.89,-1.02,86.69,"June 09, 23",-0.0102,,,,,
2023-06-08,87.6,87.65,86.35,87.45,87.42,1118000,1118000,-0.15,-0.17123,87.15,"June 08, 23",-0.0017123,,,,,
2023-06-07,87.66,87.88,86.64,87.7,87.67,986000,986000,0.04,0.04563085,87.4,"June 07, 23",0.0004563085,,,,,
2023-06-06,88.34,89.23,87.56,88.16,88.13,1014400,1014400,-0.18,-0.20376,88.32,"June 06, 23",-0.0020376,,,,,
2023-06-05,89.85,89.96,88.25,88.39,88.36,1185200,1185200,-1.46,-1.62,88.87,"June 05, 23",-0.0162,,,,,
2023-06-02,90.03,91.13,89.01,89.12,89.09,2806400,2806400,-0.91,-1.01,89.75,"June 02, 23",-0.0101,,,,,
2023-06-01,92.75,93.89,91.81,93.55,93.52,1450800,1450800,0.8,0.86253,93.08,"June 01, 23",0.0086253,,,,,
2023-05-31,91.72,92.97,91.15,92.88,92.85,5394000,5394000,1.16,1.26,92.33,"May 31, 23",0.0126,,,,,
2023-05-30,91.92,92.46,91.46,92.05,92.02,1700000,1700000,0.13,0.14143,91.99,"May 30, 23",0.0014143,,,,,
2023-05-26,92.75,93.1,91.69,92.35,92.32,1703600,1703600,-0.4,-0.43127,92.38,"May 26, 23",-0.0043127,,,,,
2023-05-25,94.46,94.81,92.17,92.86,92.83,1692400,1692400,-1.6,-1.69,93.28,"May 25, 23",-0.0169,,,,,
2023-05-24,94.66,94.82,93.67,94.49,94.46,1386000,1386000,-0.17,-0.17959,94.33,"May 24, 23",-0.0017959,,,,,
2023-05-23,96.72,96.93,94.47,95.01,94.98,1744000,1744000,-1.71,-1.77,95.47,"May 23, 23",-0.0177,,,,,
2023-05-22,96.56,98.72,96.56,97.54,97.5,1267600,1267600,0.98,1.01,97.6,"May 22, 23",0.0101,,,,,
2023-05-19,97.16,97.33,96.46,96.53,96.5,2300800,2300800,-0.63,-0.64841,96.77,"May 19, 23",-0.0064841,,,,,
2023-05-18,96.53,97.52,96.46,96.97,96.94,1056000,1056000,0.44,0.45582,96.98,"May 18, 23",0.0045582,,,,,
