date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,declarationDate,paymentDate,dividend
2023-09-01,32.57,32.76,32.45,32.66,31.12,2497617,2497617,0.09,0.27633,32.61,"September 01, 23",0.0027633,,,,,
2023-08-31,32.5,32.54,32.07,32.28,30.75,4473200,4473200,-0.22,-0.67692,32.3475,"August 31, 23",-0.0067692,,,,,
2023-08-30,32.61,32.68,32.34,32.36,30.83,1990930,1990930,-0.25,-0.76664,32.4975,"August 30, 23",-0.0076664,,,,,
2023-08-29,31.98,32.63,31.87,32.54,31,1781200,1781200,0.56,1.75,32.255,"August 29, 23",0.0175,,,,,
2023-08-28,32.13,32.42,31.85,31.98,30.47,2324600,2324600,-0.15,-0.46685,32.095,"August 28, 23",-0.0046685,,,,,
2023-08-25,31.99,32.22,31.63,31.85,30.34,2850321,2850321,-0.14,-0.43764,31.9225,"August 25, 23",-0.0043764,,,,,
2023-08-24,32.11,32.47,31.81,31.95,30.44,2259162,2259162,-0.16,-0.49829,32.085,"August 24, 23",-0.0049829,,,,,
2023-08-23,31.79,32.04,31.37,32.03,30.51,2910607,2910607,0.24,0.75495,31.8075,"August 23, 23",0.0075495,,,,,
2023-08-22,32.85,32.85,31.76,31.79,30.29,3986405,3986405,-1.06,-3.23,32.3125,"August 22, 23",-0.0323,,,,,
2023-08-21,33.34,33.34,32.66,32.91,31.35,2578811,2578811,-0.43,-1.29,33.0625,"August 21, 23",-0.0129,,,,,
2023-08-18,32.72,33.26,32.63,33.17,31.6,3301600,3301600,0.45,1.38,32.945,"August 18, 23",0.0138,,,,,
2023-08-17,32.99,33.51,32.9,33.06,31.5,3909300,3909300,0.07,0.21219,33.115,"August 17, 23",0.0021219,,,,,
2023-08-16,33.51,33.75,32.85,32.87,31.32,3184945,3184945,-0.64,-1.91,33.245,"August 16, 23",-0.0191,,,,,
2023-08-15,33.75,33.76,33.34,33.48,31.9,3631400,3631400,-0.27,-0.8,33.5825,"August 15, 23",-0.008,,,,,
2023-08-14,34.51,34.53,34.01,34.23,32.61,3025000,3025000,-0.28,-0.81136,34.32,"August 14, 23",-0.0081136,,,,,
2023-08-11,34.25,34.83,34.19,34.77,33.13,3321552,3321552,0.52,1.52,34.51,"August 11, 23",0.0152,,,,,
2023-08-10,34.72,34.99,34.28,34.4,32.77,2980427,2980427,-0.32,-0.92166,34.5975,"August 10, 23",-0.0092166,,,,,
2023-08-09,34.69,35.02,34.37,34.4,32.77,2970500,2970500,-0.29,-0.83598,34.62,"August 09, 23",-0.0083598,,,,,
2023-08-08,33.96,34.87,33.88,34.84,33.19,2764600,2764600,0.88,2.59,34.3875,"August 08, 23",0.0259,,,,,
2023-08-07,34.63,34.85,34.47,34.75,33.11,2128319,2128319,0.12,0.34652,34.675,"August 07, 23",0.0034652,,,,,
2023-08-04,34.2,34.94,34.07,34.36,32.73,3582127,3582127,0.16,0.46784,34.3925,"August 04, 23",0.0046784,,,,,
2023-08-03,33.91,34.35,33.66,34.3,32.68,2876920,2876920,0.39,1.15,34.055,"August 03, 23",0.0115,,,,,
2023-08-02,34.22,34.23,33.52,34.14,32.53,3503629,3503629,-0.08,-0.23378,34.0275,"August 02, 23",-0.0023378,,,,,
2023-08-01,34.29,34.73,34.1,34.72,33.08,3173943,3173943,0.43,1.25,34.46,"August 01, 23",0.0125,,,,,
2023-07-31,34.75,35.13,34.22,34.54,32.91,4802300,4802300,-0.21,-0.60432,34.66,"July 31, 23",-0.0060432,,,,,
2023-07-28,35.16,35.17,34.39,34.59,32.95,3295019,3295019,-0.57,-1.62,34.8275,"July 28, 23",-0.0162,2023-07-31,0.25,2023-07-20,2023-08-10,0.25
2023-07-27,35.11,35.42,34.59,34.73,32.85,3733050,3733050,-0.38,-1.08,34.9625,"July 27, 23",-0.0108,,,,,
2023-07-26,35.22,35.68,34.71,34.86,32.97,3531800,3531800,-0.36,-1.02,35.1175,"July 26, 23",-0.0102,,,,,
2023-07-25,35.89,35.89,35.16,35.16,33.26,3086314,3086314,-0.73,-2.03,35.525,"July 25, 23",-0.0203,,,,,
2023-07-24,34.66,35.84,34.64,35.84,33.9,4945100,4945100,1.18,3.4,35.245,"July 24, 23",0.034,,,,,
2023-07-21,35.03,35.16,34.5,34.67,32.79,5475211,5475211,-0.36,-1.03,34.84,"July 21, 23",-0.0103,,,,,
