symbol,date,rating,ratingScore,ratingRecommendation,ratingDetailsDCFScore,ratingDetailsDCFRecommendation,ratingDetailsROEScore,ratingDetailsROERecommendation,ratingDetailsROAScore,ratingDetailsROARecommendation,ratingDetailsDEScore,ratingDetailsDERecommendation,ratingDetailsPEScore,ratingDetailsPERecommendation,ratingDetailsPBScore,ratingDetailsPBRecommendation
EVRG,2025-06-18,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-06-17,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-06-16,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-06-13,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-06-12,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-06-11,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-06-10,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-06-09,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-06-06,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-06-05,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-06-04,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-06-03,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-06-02,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-05-30,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-05-29,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-05-28,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-05-23,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-05-22,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-05-21,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-05-20,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-05-19,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-05-16,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-05-15,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-05-14,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-05-13,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-05-12,B-,3,Neutral,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-05-09,B-,3,Neutral,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-05-08,B-,3,Neutral,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-05-07,B-,3,Neutral,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-05-06,B-,3,Neutral,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-05-05,B-,3,Neutral,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-05-02,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-05-01,B,3,Neutral,1,Strong Sell,3,Neutral,4,Buy,2,Sell,3,Neutral,3,Neutral
EVRG,2025-04-30,B,3,Neutral,1,Strong Sell,3,Neutral,4,Buy,2,Sell,3,Neutral,3,Neutral
EVRG,2025-04-29,B,3,Neutral,1,Strong Sell,3,Neutral,4,Buy,2,Sell,3,Neutral,3,Neutral
EVRG,2025-04-28,B,3,Neutral,1,Strong Sell,3,Neutral,4,Buy,2,Sell,3,Neutral,3,Neutral
EVRG,2025-04-25,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-04-24,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-04-23,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-04-22,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-04-21,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-04-17,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-04-16,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-04-15,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-04-14,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-04-11,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-04-10,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-04-09,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-04-08,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-04-07,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-04-04,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-04-03,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-04-02,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-04-01,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-03-31,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-03-28,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-03-27,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-03-26,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-03-25,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-03-24,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-03-21,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-03-20,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-03-19,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-03-18,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-03-17,C,2,Sell,1,Strong Sell,2,Sell,2,Sell,2,Sell,1,Strong Sell,2,Sell
EVRG,2025-03-14,C+,2,Sell,3,Neutral,2,Sell,2,Sell,2,Sell,1,Strong Sell,2,Sell
EVRG,2025-03-13,C+,2,Sell,3,Neutral,2,Sell,2,Sell,2,Sell,1,Strong Sell,2,Sell
EVRG,2025-03-12,C+,2,Sell,3,Neutral,2,Sell,2,Sell,2,Sell,1,Strong Sell,2,Sell
EVRG,2025-03-11,C+,2,Sell,3,Neutral,2,Sell,2,Sell,2,Sell,1,Strong Sell,2,Sell
