date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,dividend,adjDividend,paymentDate,recordDate
2024-10-25,86.24,86.36,84.33,84.38,81.15,2308529,2308529,-1.86,-2.16,85.3275,"October 25, 24",-0.0216,,,,,
2024-10-24,86.35,86.57,85.38,85.77,82.49,2202464,2202464,-0.58,-0.67169,86.0175,"October 24, 24",-0.0067169,,,,,
2024-10-23,85.29,85.99,84.87,85.96,82.67,3098249,3098249,0.67,0.78556,85.5275,"October 23, 24",0.0078556,,,,,
2024-10-22,84.4,85.23,84.26,85.01,81.76,3547000,3547000,0.61,0.72275,84.725,"October 22, 24",0.0072275,,,,,
2024-10-21,86.06,86.06,84.09,84.93,81.68,3065731,3065731,-1.13,-1.31,85.285,"October 21, 24",-0.0131,,,,,
2024-10-18,85.67,86.13,84.63,85.96,82.67,3023000,3023000,0.29,0.33851,85.5975,"October 18, 24",0.0033851,,,,,
2024-10-17,85.5,85.92,84.61,85.49,82.22,3135247,3135247,-0.01,-0.01169591,85.38,"October 17, 24",-0.0001169591,,,,,
2024-10-16,84.14,85.83,83.87,85.66,82.38,3173615,3173615,1.52,1.81,84.875,"October 16, 24",0.0181,,,,,
2024-10-15,83.48,84.49,83.18,84.03,80.82,6532032,6532032,0.55,0.65884,83.795,"October 15, 24",0.0065884,,,,,
2024-10-14,82.2,83.29,82.11,83.15,79.97,1998400,1998400,0.95,1.16,82.6875,"October 14, 24",0.0116,,,,,
2024-10-11,81.54,82.39,81.37,82.16,79.02,1794305,1794305,0.62,0.76036,81.865,"October 11, 24",0.0076036,,,,,
2024-10-10,81.87,82.5,81.26,81.33,78.22,2050400,2050400,-0.54,-0.65958,81.74,"October 10, 24",-0.0065958,,,,,
2024-10-09,81.63,81.97,81.08,81.52,78.4,1573100,1573100,-0.11,-0.13475,81.55,"October 09, 24",-0.0013475,,,,,
2024-10-08,81.92,82.32,81.54,81.61,78.49,2416458,2416458,-0.31,-0.37842,81.8475,"October 08, 24",-0.0037842,,,,,
2024-10-07,82.14,82.33,81.35,81.51,78.39,2742130,2742130,-0.63,-0.76698,81.8325,"October 07, 24",-0.0076698,,,,,
2024-10-04,81.69,82.87,81.6,82.6,79.44,1388400,1388400,0.91,1.11,82.19,"October 04, 24",0.0111,,,,,
2024-10-03,83.5,83.5,82.23,82.53,79.37,1711339,1711339,-0.97,-1.16,82.94,"October 03, 24",-0.0116,,,,,
2024-10-02,83.18,83.92,82.75,83.38,80.19,1740000,1740000,0.2,0.24044,83.3075,"October 02, 24",0.0024044,,,,,
2024-10-01,83.82,84.47,83.51,83.92,80.71,1628780,1628780,0.1,0.1193,83.93,"October 01, 24",0.001193,,,,,
2024-09-30,83.36,83.65,82.44,83.63,80.43,2355200,2355200,0.27,0.3239,83.27,"September 30, 24",0.003239,,,,,
2024-09-27,82.33,83.58,82.33,83.25,80.07,2463042,2463042,0.92,1.12,82.8725,"September 27, 24",0.0112,,,,,
2024-09-26,82.02,82.97,81.75,81.94,78.81,2775113,2775113,-0.08,-0.09753719,82.17,"September 26, 24",-0.0009753719,2024-09-04,0.62,0.62,2024-10-15,2024-09-26
2024-09-25,83.44,83.69,82.39,83,79.23,2377451,2377451,-0.44,-0.52733,83.13,"September 25, 24",-0.0052733,,,,,
2024-09-24,83.83,84.38,82.9,83.02,79.25,3213100,3213100,-0.81,-0.96624,83.5325,"September 24, 24",-0.0096624,,,,,
