date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,paymentDate,declarationDate,recordDate,adjDividend
2023-08-29,6111,6305.08,6092.995,6294.16,6294.16,25006,25000,183.16,3,6234.26,"August 29, 23",0.03,,,,,
2023-08-28,6096.61,6146.345,6052.02,6139.85,6139.85,18643,18600,43.24,0.70925,6119.22,"August 28, 23",0.0070925,,,,,
2023-08-25,6097.69,6123,5989.11,6081.14,6081.14,25905,25900,-16.55,-0.27141,6065.65,"August 25, 23",-0.0027141,,,,,
2023-08-24,6147.99,6175.005,6065.61,6070.01,6070.01,15590,15600,-77.98,-1.27,6108.14,"August 24, 23",-0.0127,,,,,
2023-08-23,6139.98,6218.47,6130,6133.95,6133.95,16872,16900,-6.03,-0.09820879,6164.89,"August 23, 23",-0.0009820879,,,,,
2023-08-22,6017.11,6139.9815,6017.11,6100.44,6100.44,17712,17700,83.33,1.38,6101.98,"August 22, 23",0.0138,,,,,
2023-08-21,6093.02,6104.57,5951.318,6009.22,6009.22,17156,17100,-83.8,-1.38,6006.66,"August 21, 23",-0.0138,,,,,
2023-08-18,6000,6085.89,6000,6078.96,6078.96,16643,16600,78.96,1.32,6057.33,"August 18, 23",0.0132,,,,,
2023-08-17,6133.48,6187.28,6000.02,6022,6022,24240,24200,-111.48,-1.82,6082.03,"August 17, 23",-0.0182,,,,,
2023-08-16,6201.5,6244.7,6140.61,6147.94,6147.94,18941,18900,-53.56,-0.86366,6183.58,"August 16, 23",-0.0086366,,,,,
2023-08-15,6201.37,6286.88,6116.7,6190.99,6190.99,15685,15700,-10.38,-0.16738,6197.96,"August 15, 23",-0.0016738,,,,,
2023-08-14,6130.75,6164.4,6080.03,6158.7,6158.7,8675,8700,27.95,0.4559,6144.99,"August 14, 23",0.004559,,,,,
2023-08-11,6078.46,6201.86,6078.46,6156.73,6156.73,9613,9600,78.27,1.29,6151.26,"August 11, 23",0.0129,,,,,
2023-08-10,6280,6319.58,6080.925,6119.33,6119.33,13987,14000,-160.67,-2.56,6159.92,"August 10, 23",-0.0256,,,,,
2023-08-09,6330,6350,6251.82,6261.61,6261.61,11357,11400,-68.39,-1.08,6291.79,"August 09, 23",-0.0108,,,,,
2023-08-08,6338,6369.935,6276.66,6348.76,6348.76,15728,15700,10.76,0.16977,6332.4,"August 08, 23",0.0016977,,,,,
2023-08-07,6321,6391.42,6305,6387.74,6387.74,18592,18600,66.74,1.06,6355.43,"August 07, 23",0.0106,,,,,
2023-08-04,6274.43,6339,6246.78,6320.97,6320.97,23648,23600,46.54,0.74174,6308.71,"August 04, 23",0.0074174,,,,,
2023-08-03,6283.84,6290,6180,6248.02,6248.02,19559,19600,-35.82,-0.57003,6235.12,"August 03, 23",-0.0057003,,,,,
2023-08-02,6288,6326.95,6200,6303.84,6303.84,18318,18300,15.84,0.25191,6283.83,"August 02, 23",0.0025191,,,,,
2023-08-01,6310,6350,6283,6324,6324,16906,16900,14,0.22187,6315.85,"August 01, 23",0.0022187,,,,,
2023-07-31,6369.72,6369.72,6262.73,6306.44,6306.439941,16639,16600,-63.28,-0.99345,6305.98,"July 31, 23",-0.0099345,,,,,
2023-07-28,6374.98,6374.98,6300,6343.33,6343.33,21456,21500,-31.65,-0.49647,6338.48,"July 28, 23",-0.0049647,,,,,
2023-07-27,6362.09,6389,6265.21,6301.71,6301.709961,36051,36100,-60.38,-0.94906,6318.82,"July 27, 23",-0.0094906,,,,,
2023-07-26,6373.87,6443.9,6340.5,6382.98,6382.97998,15192,15200,9.11,0.14293,6388.97,"July 26, 23",0.0014293,,,,,
2023-07-25,6211.76,6383.17,6211.76,6361.13,6361.129883,17497,17500,149.37,2.4,6330.13,"July 25, 23",0.024,,,,,
2023-07-24,6235,6298.03,6218.875,6230.69,6230.689941,14645,14600,-4.31,-0.0691259,6253.95,"July 24, 23",-0.000691259,,,,,
2023-07-21,6280.32,6309.97,6189.22,6244.69,6244.689941,13418,13400,-35.63,-0.56733,6240.42,"July 21, 23",-0.0056733,,,,,
2023-07-20,6474.53,6474.53,6190.01,6226.08,6226.08,16332,16300,-248.45,-3.84,6261.95,"July 20, 23",-0.0384,,,,,
2023-07-19,6449.79,6469.68,6405,6445.95,6445.95,16995,17000,-3.84,-0.05953682,6445.44,"July 19, 23",-0.0005953682,,,,,
2023-07-18,6402.24,6470.87,6391,6466,6466,13969,14000,63.76,0.9959,6450.29,"July 18, 23",0.009959,,,,,
2023-07-17,6368.39,6445,6349.37,6408.98,6408.97998,13244,13200,40.59,0.63737,6414.05,"July 17, 23",0.0063737,,,,,
2023-07-14,6358.25,6425.5091,6339.74,6396.55,6396.549805,13856,13900,38.3,0.60237,6384.3,"July 14, 23",0.0060237,,,,,
2023-07-13,6367.77,6391.1,6322.4,6325.78,6325.779785,15112,15100,-41.99,-0.65941,6348.34,"July 13, 23",-0.0065941,,,,,
2023-07-12,6245.5,6392.26,6223.67,6348.69,6348.689941,15988,16000,103.19,1.65,6338.59,"July 12, 23",0.0165,,,,,
2023-07-11,6252.01,6270.94,6195.01,6204.76,6204.759766,12098,12100,-47.25,-0.75576,6219.09,"July 11, 23",-0.0075576,,,,,
2023-07-10,6079.64,6216.85,6079.64,6213.8,6213.799805,23189,23200,134.16,2.21,6181.01,"July 10, 23",0.0221,,,,,
2023-07-07,6051.53,6148.93,6051.53,6062.78,6062.779785,22047,22000,11.25,0.1859,6092.05,"July 07, 23",0.001859,,,,,
2023-07-06,6164.95,6193.285,6009.32,6081.2,6081.2,28067,27800,-83.75,-1.36,6083.24,"July 06, 23",-0.0136,,,,,
2023-07-05,6280,6302.645,6188.495,6231.03,6231.029785,22963,23000,-48.97,-0.77978,6230.04,"July 05, 23",-0.0077978,,,,,
2023-07-03,6320,6347.06,6263.455,6286.48,6286.47998,9624,9600,-33.52,-0.53038,6306.27,"July 03, 23",-0.0053038,,,,,
2023-06-30,6344.8,6361.72,6277.155,6350.62,6350.62,21439,21300,5.82,0.09172866,6339.88,"June 30, 23",0.0009172866,,,,,
2023-06-29,6285.6,6332.035,6200.95,6295.61,6295.609863,22129,22100,10.01,0.15925,6273.05,"June 29, 23",0.0015925,,,,,
2023-06-28,6306.92,6386.62,6275.1,6312.91,6312.91,22009,22000,5.99,0.09497504,6329.35,"June 28, 23",0.0009497504,,,,,
2023-06-27,6155.02,6357.53,6155.02,6330.2,6330.2,25998,26000,175.18,2.85,6302.19,"June 27, 23",0.0285,,,,,
2023-06-26,6184,6253.47,6139.16,6149.08,6149.08,21803,21800,-34.92,-0.56468,6188.43,"June 26, 23",-0.0056468,,,,,
2023-06-23,6045,6169.37,6045,6160.21,6160.209961,63640,63600,115.21,1.91,6141.57,"June 23, 23",0.0191,,,,,
2023-06-22,6029.9,6062.98,6004.42,6062.57,6062.569824,18151,18200,32.67,0.5418,6038.7,"June 22, 23",0.005418,,,,,
2023-06-21,5936.99,6030.155,5924.995,6025.4,6025.399902,14587,14600,88.41,1.49,6000.64,"June 21, 23",0.0149,,,,,
2023-06-20,5973,6079.055,5960,5982.43,5982.43,28470,28500,9.43,0.15788,5990.55,"June 20, 23",0.0015788,,,,,
2023-06-16,6000,6000,5907.36,5990.38,5990.379883,50802,50800,-9.62,-0.16033,5983,"June 16, 23",-0.0016033,,,,,
2023-06-15,5895,5961.14,5888.755,5944.96,5944.959961,21225,21200,49.96,0.8475,5931.53,"June 15, 23",0.008475,,,,,
2023-06-14,5918,5979.117,5871.885,5886.57,5886.569824,18651,18700,-31.43,-0.53109,5914.05,"June 14, 23",-0.0053109,,,,,
2023-06-13,5882,5960.35,5882,5929.63,5929.629883,21017,21000,47.63,0.80976,5931.51,"June 13, 23",0.0080976,,,,,
2023-06-12,5816.11,5903.66,5783.71,5868.86,5868.859863,17003,17000,52.75,0.90696,5861.53,"June 12, 23",0.0090696,,,,,
2023-06-09,5817.63,5866.04,5770,5817.96,5817.959961,14639,14600,0.33,0.00567241,5821.42,"June 09, 23",5.67241e-05,,,,,
2023-06-08,5754,5829.385,5754,5806.16,5806.16,21987,22000,52.16,0.9065,5804.43,"June 08, 23",0.009065,,,,,
2023-06-07,5794.6,5851.18,5757.15,5771.12,5771.12,24891,24900,-23.48,-0.4052,5790.79,"June 07, 23",-0.004052,,,,,
2023-06-06,5687.02,5804.94,5676.32,5794.6,5794.6,14833,14800,107.58,1.89,5765.95,"June 06, 23",0.0189,,,,,
2023-06-05,5806.315,5806.315,5641.02,5661.56,5661.56,16174,14500,-144.755,-2.49,5680.04,"June 05, 23",-0.0249,,,,,
2023-06-02,5608,5732.09,5579.96,5711,5711,24148,24100,103,1.84,5692.24,"June 02, 23",0.0184,,,,,
2023-06-01,5550,5588.65,5520.48,5570.61,5570.609863,25417,25400,20.61,0.37135,5561.74,"June 01, 23",0.0037135,,,,,
2023-05-31,5603.68,5643.57,5528.09,5554.22,5554.22,93665,93700,-49.46,-0.88263,5557.97,"May 31, 23",-0.0088263,,,,,
2023-05-30,5632.22,5671.18,5593.705,5621.21,5621.209961,35366,35400,-11.01,-0.19548,5629.52,"May 30, 23",-0.0019548,,,,,
2023-05-26,5660,5660,5577.0101,5617.56,5617.56,23935,23900,-42.44,-0.74982,5630.09,"May 26, 23",-0.0074982,,,,,
2023-05-25,5591.26,5689.03,5591.26,5635.22,5635.22,26436,26400,43.96,0.78623,5650.2,"May 25, 23",0.0078623,,,,,
2023-05-24,5609,5668.56,5566.785,5585.7,5585.7,30261,30300,-23.3,-0.4154,5607.87,"May 24, 23",-0.004154,,,,,
2023-05-23,5663.12,5688.53,5589.6,5611.29,5611.29,23930,23900,-51.83,-0.91522,5621.19,"May 23, 23",-0.0091522,,,,,
2023-05-22,5845,5899.43,5705.32,5705.32,5705.319824,35598,35600,-139.68,-2.39,5757.47,"May 22, 23",-0.0239,,,,,
2023-05-19,5860.23,5889.98,5771.905,5846.52,5846.52,18969,19000,-13.71,-0.23395,5828.13,"May 19, 23",-0.0023395,,,,,
2023-05-18,5800,5892.56,5800,5883.17,5883.169922,26650,26700,83.17,1.43,5873.95,"May 18, 23",0.0143,,,,,
2023-05-17,5880.14,5900,5795.6,5833.16,5833.16,19431,19400,-46.98,-0.79896,5835.94,"May 17, 23",-0.0079896,,,,,
2023-05-16,5855.79,5900,5796.18,5887.48,5887.47998,19827,19800,31.69,0.54117,5874.92,"May 16, 23",0.0054117,,,,,
2023-05-15,5813.61,5900,5768.2,5898.82,5898.819824,22406,22400,85.21,1.47,5860.57,"May 15, 23",0.0147,,,,,
2023-05-12,5850,5868,5774.13,5822.41,5822.41,16044,16000,-27.59,-0.47162,5811.34,"May 12, 23",-0.0047162,,,,,
2023-05-11,5819.23,5873.92,5800.6,5837.83,5837.83,17248,17200,18.6,0.31963,5830.69,"May 11, 23",0.0031963,,,,,
2023-05-10,5913,5933.78,5782.395,5836.51,5836.509766,20497,20500,-76.49,-1.29,5835.08,"May 10, 23",-0.0129,,,,,
2023-05-09,5830.71,5933,5810,5875.45,5875.45,17817,17800,44.74,0.76732,5880.98,"May 09, 23",0.0076732,,,,,
2023-05-08,5833.92,5855.91,5802.6625,5853.47,5853.47,15073,15100,19.55,0.33511,5836.06,"May 08, 23",0.0033511,,,,,
2023-05-05,5826.49,5879.25,5712,5852.47,5852.47,19005,19000,25.98,0.44589,5836.44,"May 05, 23",0.0044589,,,,,
2023-05-04,5846.92,5852.66,5793.92,5801.35,5801.35,16095,16100,-45.57,-0.77938,5822.69,"May 04, 23",-0.0077938,,,,,
2023-05-03,5900,5985.48,5822.02,5894.82,5894.819824,30757,30800,-5.18,-0.08779661,5902.45,"May 03, 23",-0.0008779661,,,,,
2023-05-02,5856,5898.89,5787.08,5886.56,5886.56,18339,18300,30.56,0.52186,5854.68,"May 02, 23",0.0052186,,,,,
2023-05-01,5845,5899,5820.1,5870.49,5870.49,18582,18600,25.49,0.4361,5869.31,"May 01, 23",0.004361,,,,,
2023-04-28,5798.7,5846.06,5776.97,5840,5840,18445,18400,41.3,0.71223,5830.71,"April 28, 23",0.0071223,,,,,
2023-04-27,5713.12,5810,5692.98,5799.52,5799.52,27645,27600,86.4,1.51,5765.79,"April 27, 23",0.0151,,,,,
2023-04-26,5736.97,5837.98,5652.23,5681.59,5681.589844,27893,27900,-55.38,-0.96532,5695.44,"April 26, 23",-0.0096532,,,,,
2023-04-25,5979.36,5980.01,5725.45,5754.71,5754.709961,41111,41100,-224.65,-3.76,5838.77,"April 25, 23",-0.0376,,,,,
2023-04-24,5925,5983.235,5908,5967.22,5967.22,23485,23500,42.22,0.71257,5954.49,"April 24, 23",0.0071257,,,,,
2023-04-21,5905,5928.98,5827.69,5924.2,5924.2,92772,92800,19.2,0.32515,5913.29,"April 21, 23",0.0032515,,,,,
2023-04-20,5862.5,5986.96,5813.5,5892.71,5892.709961,20032,20000,30.21,0.51531,5917.76,"April 20, 23",0.0051531,,,,,
2023-04-19,5818,5873.03,5792.93,5861.13,5861.129883,13346,13300,43.13,0.74132,5839.93,"April 19, 23",0.0074132,,,,,
2023-04-18,5722,5844.56,5696.1,5829.84,5829.839844,16143,16100,107.84,1.88,5809.52,"April 18, 23",0.0188,,,,,
2023-04-17,5650.48,5743.175,5650.48,5693.04,5693.04,19952,20000,42.56,0.75321,5689.67,"April 17, 23",0.0075321,,,,,
2023-04-14,5571.05,5646.93,5571.05,5632.55,5632.549805,13601,13600,61.5,1.1,5620.18,"April 14, 23",0.011,,,,,
2023-04-13,5629,5643.955,5565.69,5579.47,5579.47,21707,21700,-49.53,-0.87991,5584.34,"April 13, 23",-0.0087991,,,,,
