date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-03,183.39,187.1,181.18,185.8,185.8,408900,408900,2.42,1.31,184.3675,"January 03, 25",0.0131
2025-01-02,186.92,187.32,181.31,182.64,182.64,485431,485431,-4.28,-2.29,184.5475,"January 02, 25",-0.0229
2024-12-31,184.4,185.98,183.29,184.6,184.6,322021,322021,0.2,0.10846,184.5675,"December 31, 24",0.0010846
2024-12-30,184.34,185.1,180.7,183.42,183.42,509200,509200,-0.92,-0.49908,183.39,"December 30, 24",-0.0049908
2024-12-27,185.67,188.32,184.76,186.16,186.16,514777,514777,0.49,0.26391,186.2275,"December 27, 24",0.0026391
2024-12-26,184.89,187.18,183.72,186.65,186.65,382874,382874,1.76,0.95192,185.61,"December 26, 24",0.0095192
2024-12-24,185.11,186.47,184.46,186.29,186.29,231500,231500,1.18,0.63746,185.5825,"December 24, 24",0.0063746
2024-12-23,185.12,186.75,184.5,185.39,185.39,520138,520138,0.27,0.14585,185.44,"December 23, 24",0.0014585
2024-12-20,181.54,188.04,181.29,185.77,185.77,1139339,1139339,4.23,2.33,184.16,"December 20, 24",0.0233
2024-12-19,183.2,185.05,180.21,182.15,182.15,624643,624643,-1.05,-0.57314,182.6525,"December 19, 24",-0.0057314
2024-12-18,190.26,191.61,182.92,183.16,183.16,670800,670800,-7.1,-3.73,186.9875,"December 18, 24",-0.0373
2024-12-17,188.56,199.45,188.56,189.33,189.33,579064,579064,0.77,0.40836,191.475,"December 17, 24",0.0040836
2024-12-16,189.72,193.82,188.99,190.07,190.07,728120,728120,0.35,0.18448,190.65,"December 16, 24",0.0018448
2024-12-13,194.17,194.17,188.31,190.46,190.46,547747,547747,-3.71,-1.91,191.7775,"December 13, 24",-0.0191
2024-12-12,192.35,195.36,191.3,194.27,194.27,520800,520800,1.92,0.99818,193.32,"December 12, 24",0.0099818
2024-12-11,198.47,200.1,193,193.55,193.55,424859,424859,-4.92,-2.48,196.28,"December 11, 24",-0.0248
2024-12-10,202.72,202.72,196.5,197.05,197.05,415513,415513,-5.67,-2.8,199.7475,"December 10, 24",-0.028
2024-12-09,192.77,202.57,192.74,201.75,201.75,630100,630100,8.98,4.66,197.4575,"December 09, 24",0.0466
2024-12-06,193.8,195.37,190.15,191.81,191.81,624664,624664,-1.99,-1.03,192.7825,"December 06, 24",-0.0103
2024-12-05,198.29,198.83,191.43,191.54,191.54,469200,469200,-6.75,-3.4,195.0225,"December 05, 24",-0.034
2024-12-04,199.67,201.42,198.31,199.35,199.35,436620,436620,-0.32,-0.16026,199.6875,"December 04, 24",-0.0016026
2024-12-03,200.17,201.12,196.61,199.3,199.3,458614,458614,-0.87,-0.43463,199.3,"December 03, 24",-0.0043463
2024-12-02,200,203.01,198.67,201.25,201.25,630456,630456,1.25,0.625,200.7325,"December 02, 24",0.00625
2024-11-29,200.73,201.29,198.25,199.06,199.06,287800,287800,-1.67,-0.83196,199.8325,"November 29, 24",-0.0083196
2024-11-27,200.05,202.56,198.23,199.59,199.59,249500,249500,-0.46,-0.22994,200.1075,"November 27, 24",-0.0022994
2024-11-26,198.75,200.2,194.05,197.75,197.75,430846,430846,-1,-0.50314,197.6875,"November 26, 24",-0.0050314
2024-11-25,198.56,202.87,198.18,201.3,201.3,612725,612725,2.74,1.38,200.2275,"November 25, 24",0.0138
2024-11-22,194.38,198.18,193.26,195.77,195.77,575717,575717,1.39,0.71509,195.3975,"November 22, 24",0.0071509
2024-11-21,189.2,194.88,186.62,194.19,194.19,502300,502300,4.99,2.64,191.2225,"November 21, 24",0.0264
2024-11-20,186.54,188.32,183.55,187.9,187.9,648100,648100,1.36,0.72907,186.5775,"November 20, 24",0.0072907
2024-11-19,185.84,188.38,183.91,186.1,186.1,714433,714433,0.26,0.13991,186.0575,"November 19, 24",0.0013991
2024-11-18,185.28,187.93,183.58,187.5,187.5,780000,780000,2.22,1.2,186.0725,"November 18, 24",0.012
2024-11-15,195.42,196,183.35,187.74,187.74,1499025,1499025,-7.68,-3.93,190.6275,"November 15, 24",-0.0393
2024-11-14,206.5,208.1,195.97,196.9,196.9,974400,974400,-9.6,-4.65,201.8675,"November 14, 24",-0.0465
2024-11-13,216.12,217.75,205.55,206.54,206.54,982000,982000,-9.58,-4.43,211.49,"November 13, 24",-0.0443
2024-11-12,220,221.6,213.35,215.94,215.94,756423,756423,-4.06,-1.85,217.7225,"November 12, 24",-0.0185
2024-11-11,217.67,222.1,217,220.69,220.69,774726,774726,3.02,1.39,219.365,"November 11, 24",0.0139
2024-11-08,210.29,216.15,208.52,215.39,215.39,625749,625749,5.1,2.43,212.5875,"November 08, 24",0.0243
2024-11-07,215.75,217.6,209.97,210.29,210.29,852790,852790,-5.46,-2.53,213.4025,"November 07, 24",-0.0253
2024-11-06,228.99,230.02,208.55,214.2,214.2,2284545,2284545,-14.79,-6.46,220.44,"November 06, 24",-0.0646
2024-11-05,180.89,189.18,180.5,188.68,188.68,997754,997754,7.79,4.31,184.8125,"November 05, 24",0.0431
2024-11-04,179.93,185.86,179.93,182.48,182.48,519209,519209,2.55,1.42,182.05,"November 04, 24",0.0142
2024-11-01,180.4,184.04,179.46,180.96,180.96,830400,830400,0.56,0.31042,181.215,"November 01, 24",0.0031042
2024-10-31,178.91,181.23,176.48,178.58,178.58,1032100,1032100,-0.33,-0.18445,178.8,"October 31, 24",-0.0018445
2024-10-30,181.19,186.37,180.24,181.39,181.39,792300,792300,0.2,0.11038,182.2975,"October 30, 24",0.0011038
2024-10-29,186,186.46,182.22,184,184,692500,692500,-2,-1.08,184.67,"October 29, 24",-0.0108
2024-10-28,185.21,188,184.26,186.52,186.52,506517,506517,1.31,0.70731,185.9975,"October 28, 24",0.0070731
2024-10-25,184.15,184.55,181.53,182.12,182.12,501310,501310,-2.03,-1.1,183.0875,"October 25, 24",-0.011
2024-10-24,185,186.32,180.22,182.73,182.73,1053500,1053500,-2.27,-1.23,183.5675,"October 24, 24",-0.0123
2024-10-23,185.54,188.06,184.16,186.63,186.63,610700,610700,1.09,0.58747,186.0975,"October 23, 24",0.0058747
2024-10-22,191.01,191.01,180.75,185.94,185.94,1197000,1197000,-5.07,-2.65,187.1775,"October 22, 24",-0.0265
2024-10-21,196.6,197.64,194.91,195.04,195.04,592600,592600,-1.56,-0.79349,196.0475,"October 21, 24",-0.0079349
2024-10-18,199.14,200.52,195.76,197.77,197.77,707810,707810,-1.37,-0.68796,198.2975,"October 18, 24",-0.0068796
2024-10-17,198.07,198.6,195.55,197.78,197.78,695500,695500,-0.29,-0.14641,197.5,"October 17, 24",-0.0014641
2024-10-16,192.79,197.04,192.63,195.11,195.11,516515,516515,2.32,1.2,194.3925,"October 16, 24",0.012
2024-10-15,191.97,198.57,191.97,193.87,193.87,553746,553746,1.9,0.98974,194.095,"October 15, 24",0.0098974
